return_id,order_id,return_date,reason
R0108,O0225,2025-03-13,Late Delivery
R0109,O0834,16/06/2025,Damaged
R0110,O0185,2025-03-13,Late Delivery
R0111,O0873,2025-05-30,Defective Item
R0112,O0456,2025-02-12,Changed Mind
R0113,O0898,2025-02-22,Changed Mind
R0114,O0380,"May 22, 2025",Damaged
R0115,O0325,2025-06-22,Defective Item
R0116,O0860,2025-06-03,Wrong Size/Item
R0117,O0088,2025-05-14,Wrong Size/Item
R0118,O0593,2025-02-18,Defective Item
R0119,O0293,2025-05-05,Damaged
R0120,O0401,"Jun 21, 2025",Defective Item
R0121,O0601,14/06/2025,Defective Item
R0122,O0777,2025-05-29,nan
R0123,O0171,2025-06-18,Late Delivery
R0124,O0987,2025-03-28,Defective Item
R0125,O0681,04-24-2025,Damaged
R0126,O0256,2025-05-30,Damaged
R0127,O0064,2025-04-03,Defective Item
R0128,O0354,2025-03-23,Late Delivery
R0129,O0118,05-14-2025,Defective Item
R0130,O0063,2025-05-23,Wrong Size/Item
R0131,O0640,2025-06-02,Changed Mind
R0132,O0318,2025-04-10,Changed Mind
R0133,O0381,2025-02-26,Damaged
R0134,O0788,31/05/2025,Damaged
R0135,O0084,05-21-2025,Defective Item
R0136,O0124,2025-05-08,Wrong Size/Item
R0137,O0586,2025-05-12,nan
R0138,O0471,2025-06-22,Damaged
R0139,O0724,2025-06-03,Damaged
R0140,O0609,2025-05-08,Changed Mind
R0141,O0377,2025-05-07,Late Delivery
R0142,O0702,07/03/2025,nan
R0143,O0569,30/05/2025,Defective Item
R0144,O0332,2025-03-18,Defective Item
R0145,O0284,"Jun 18, 2025",Damaged
R0146,O0566,29/03/2025,Damaged
R0147,O0905,2025-03-10,Wrong Size/Item
R0148,O0167,2025-02-01,Defective Item
R0149,O0524,23/02/2025,Damaged
R0150,O0870,2025-02-05,Changed Mind
