order_id,customer_id,order_date,product_id,quantity,unit_price,discount
O0064,C0474,15/05/2025,P010,3.0,2500.0,0.0
O0065,C0054,28/02/2025,P002,1.0,5000.0,0.05
O0066,C0811,2025-05-29,P003,1.0,,0.0
O0067,C0208,2025-02-15,P016,1.0,12000.0,0.1
O0068,C0267,2025-01-12,P002,2.0,2000.0,0.0
O0069,C0170,02/06/2025,P010,1.0,4000.0,0.0
O0070,C0341,03-16-2025,P006,1.0,2500.0,0.0
O0071,C0781,2025-06-12,P011,1.0,4000.0,0.2
O0072,C0536,03-08-2025,P007,1.0,4000.0,0.1
O0073,C0212,2025-04-30,P015,0.0,5000.0,0.0
O0074,C0905,20/05/2025,P006,-2.0,5000.0,0.05
O0075,C0907,2025-06-06,P020,1.0,2500.0,0.0
O0076,C0898,,P009,2.0,12000.0,
O0077,C0247,2025-02-13,P020,1.0,12000.0,0.1
O0078,C0466,05-08-2025,P012,2.0,2000.0,0.0
O0079,C9901,25/06/2025,P019,3.0,12000.0,0.05
O0080,C0796,2025-05-14,P020,-1.0,,0.0
O0081,C0029,,P003,1.0,2000.0,
O0082,C0068,2025-06-19,P015,3.0,4000.0,0.0
O0083,C0479,2025-04-03,P002,1.0,2500.0,0.05
O0084,C0938,20/04/2025,P002,,5000.0,0.0
O0085,C0556,2025-03-14,P003,1.0,12000.0,0.1
O0086,C0514,,P006,2.0,4000.0,0.1
O0087,C0109,28/03/2025,P015,2.0,12000.0,0.1
O0088,C0678,2025-05-19,P010,2.0,2000.0,0.05
O0089,C0848,28/01/2025,P009,1.0,2500.0,0.15
O0090,C0393,2025-02-14,P001,5.0,4000.0,0.0
O0091,C0800,2025-02-06,P016,1.0,12000.0,0.0
O0092,C0995,12/04/2025,P006,2.0,,0.0
O0093,C0211,2025-03-13,P009,1.0,4000.0,
O0094,C0540,2025-02-27,P004,1.0,4000.0,0.0
O0095,C0297,2025-01-11,P002,1.0,12000.0,0.1
O0096,C0818,2025-03-01,P004,1.0,2500.0,0.1
O0097,C0596,2025-03-25,P001,1.0,4000.0,0.0
O0098,C0655,2025-02-24,P019,1.0,2000.0,0.0
O0099,C0823,2025-04-06,P010,1.0,2500.0,0.0
O0100,C0409,2025-06-05,P015,3.0,12000.0,0.0
O0101,C0944,2025-03-02,P019,4.0,4000.0,0.0
O0102,C0550,2025-03-15,P016,1.0,2500.0,0.0
O0103,C0163,09/03/2025,P004,1.0,12000.0,0.15
O0104,C0718,2025-05-03,P002,1.0,2000.0,
O0105,C0818,2025-05-30,P013,1.0,2500.0,0.0
O0106,C0327,05-01-2025,P001,2.0,2000.0,0.0
O0107,C0884,,P017,2.0,2000.0,0.0
O0108,C0935,2025-03-01,P013,1.0,2500.0,0.1
O0109,C0286,2025-05-16,P004,1.0,2500.0,0.15
O0110,C9901,"Mar 20, 2025",P007,1.0,12000.0,0.0
O0111,C0146,24/05/2025,P017,3.0,5000.0,0.0
O0112,C0209,02-24-2025,P009,0.0,4000.0,0.1
O0113,C0190,,P004,1.0,2000.0,0.05
O0114,C0922,05-19-2025,P019,1.0,4000.0,0.0
O0115,C0675,2025-02-01,P001,4.0,2000.0,0.05
O0116,C0157,04-10-2025,P010,5.0,12000.0,0.0
O0117,C0454,2025-03-10,P004,1.0,2000.0,0.0
O0118,C0635,10/02/2025,P009,1.0,5000.0,0.1
O0119,C0087,03-29-2025,P013,1.0,2000.0,0.15
O0120,C0910,23/05/2025,P014,2.0,4000.0,0.0
O0121,C0829,2025-04-17,P010,1.0,12000.0,0.2
O0122,C0521,2025-05-26,P006,1.0,12000.0,0.0
O0123,C0998,2025-06-08,P016,2.0,2000.0,0.1
O0124,C0431,2025-03-11,P006,1.0,4000.0,0.05
O0125,C9901,2025-05-24,P017,3.0,12000.0,0.15
O0126,C0689,2025-02-01,P010,1.0,,0.2
O0127,C0655,2025-05-14,P018,1.0,2000.0,0.0
O0128,C0172,03-08-2025,P018,2.0,,0.2
O0129,C0910,2025-03-22,P003,1.0,4000.0,0.15
O0130,C0441,2025-05-09,P020,0.0,4000.0,0.1
O0131,C0168,2025-02-21,P015,1.0,2500.0,0.0
O0132,C0013,"Feb 21, 2025",P015,1.0,4000.0,0.15
O0133,C0578,2025-02-04,P004,2.0,2000.0,0.15
O0134,C0544,"Apr 12, 2025",P009,1.0,12000.0,0.0
O0135,C0742,2025-02-08,P019,5.0,4000.0,
O0136,C0918,2025-04-08,P017,1.0,5000.0,0.0
O0137,C0082,04/06/2025,P011,1.0,12000.0,0.0
O0138,C0755,07/05/2025,P009,1.0,5000.0,0.05
O0139,C0194,23/03/2025,P010,1.0,5000.0,0.05
O0140,C0885,2025-03-31,P018,3.0,,0.05
O0141,C0845,2025-05-26,P020,3.0,12000.0,0.0
O0142,C0558,2025-04-26,P013,1.0,2000.0,
O0143,C0733,2025-04-11,P008,1.0,2500.0,0.0
O0144,C0325,2025-06-06,P007,3.0,4000.0,0.0
O0145,C0486,2025-04-24,P017,5.0,5000.0,0.0
O0146,C0848,2025-06-14,P015,1.0,2000.0,0.05
O0147,C0474,2025-05-18,P020,1.0,2000.0,0.2
O0148,C0369,2025-06-19,P015,1.0,2000.0,0.1
O0149,C0510,02-21-2025,P001,4.0,2000.0,0.15
O0150,C0854,2025-06-06,P014,1.0,,0.0
O0151,C0346,2025-02-27,P005,1.0,4000.0,0.05
O0152,C0180,2025-05-22,P011,3.0,12000.0,0.05
O0153,C0735,2025-06-05,P016,1.0,2000.0,0.05
O0154,C0852,2025-05-05,P002,1.0,5000.0,0.0
O0155,C0104,2025-06-28,P008,1.0,2500.0,0.1
O0156,C0248,2025-06-11,P011,1.0,5000.0,0.05
O0157,C0147,2025-01-25,P018,1.0,12000.0,0.1
O0158,C0359,22/04/2025,P003,1.0,2500.0,0.05
O0159,C0465,2025-04-06,P001,1.0,4000.0,0.0
O0160,C0772,2025-04-22,P011,2.0,12000.0,0.05
O0161,C0672,05-26-2025,P016,3.0,4000.0,0.0
O0162,C0641,2025-03-21,P018,3.0,2500.0,0.15
O0163,C0364,2025-01-25,P016,1.0,12000.0,0.05
O0164,C0868,"Apr 29, 2025",P010,1.0,2500.0,0.0
O0165,C0486,2025-01-31,P018,1.0,5000.0,
O0166,C8888,2025-01-21,P006,1.0,2000.0,0.05
O0167,C0654,2025-06-19,P019,1.0,2500.0,0.0
O0168,C0131,2025-04-26,P004,2.0,5000.0,0.05
O0169,C0698,2025-04-18,P013,1.0,4000.0,0.0
O0170,C0336,"Feb 18, 2025",P014,1.0,5000.0,0.15
O0171,C0708,2025-05-01,P003,1.0,2000.0,0.15
O0172,C0072,2025-04-24,P010,2.0,4000.0,
O0173,C0181,2025-02-08,P006,1.0,2000.0,0.05
O0174,C0883,2025-02-10,P001,2.0,5000.0,0.05
O0175,C0235,03-14-2025,P014,1.0,12000.0,0.1
O0176,C0863,2025-06-24,P008,4.0,5000.0,0.0
O0177,C0288,2025-04-21,P019,4.0,12000.0,0.05
O0178,C0663,2025-04-05,P014,1.0,4000.0,0.05
O0179,C0716,2025-02-01,P010,1.0,2500.0,0.0
O0180,C0529,2025-05-22,P017,1.0,2000.0,0.0
O0181,C0315,2025-02-18,P009,1.0,4000.0,0.15
O0182,C0220,29/05/2025,P006,2.0,,0.15
O0183,C0035,2025-05-03,P011,3.0,2000.0,0.0
O0184,C0314,2025-04-14,P007,2.0,2500.0,0.0
O0185,C0674,2025-01-27,P017,3.0,4000.0,0.0
O0186,C0968,2025-04-19,P001,1.0,12000.0,0.15
O0187,C0899,2025-04-06,P005,1.0,5000.0,0.0
O0188,C0790,2025-06-16,P009,2.0,2000.0,0.1
O0189,C0813,2025-01-20,P018,1.0,5000.0,0.0
O0190,C0686,08/04/2025,P002,2.0,12000.0,0.05
O0191,C0269,,P011,1.0,4000.0,0.0
O0192,C0936,2025-04-19,P006,1.0,4000.0,0.1
O0193,C0692,2025-03-31,P008,,2000.0,0.0
O0194,C0578,2025-04-08,P004,1.0,5000.0,0.05
O0195,C0115,2025-04-29,P018,,12000.0,0.0
O0196,C0461,21/01/2025,P011,0.0,2000.0,0.1
O0197,C0475,2025-04-28,P005,3.0,,0.15
O0198,C0892,2025-04-09,P015,2.0,2000.0,0.0
O0199,C0564,05-20-2025,P018,2.0,2500.0,0.15
O0200,C0393,2025-06-15,P002,4.0,2000.0,0.05
O0201,C8888,10/03/2025,P011,1.0,4000.0,0.0
O0202,C0115,30/05/2025,P013,1.0,5000.0,0.0
O0203,C0436,2025-01-14,P004,2.0,2000.0,0.0
O0204,C0044,,P007,1.0,2000.0,0.1
O0205,C0763,2025-02-28,P011,1.0,2000.0,0.1
O0206,C0947,2025-06-17,P004,1.0,4000.0,0.0
O0207,C0289,2025-01-10,P015,2.0,4000.0,0.05
O0208,C0885,2025-06-03,P001,4.0,12000.0,0.15
O0209,C0302,2025-02-21,P003,1.0,4000.0,0.2
O0210,C0939,02/05/2025,P014,5.0,5000.0,0.05
O0211,C0778,2025-01-24,P006,2.0,2500.0,
O0212,C0830,2025-01-18,P018,3.0,5000.0,0.05
O0213,C0019,2025-04-02,P001,2.0,5000.0,0.0
O0214,C0993,2025-03-17,P006,3.0,4000.0,0.15
O0215,C0750,05-26-2025,P006,1.0,2000.0,0.05
O0216,C0315,2025-01-22,P016,3.0,4000.0,0.05
O0217,C0856,2025-04-25,P005,1.0,12000.0,0.05
O0218,C0291,21/01/2025,P017,4.0,4000.0,0.15
O0219,C0900,2025-01-23,P010,,12000.0,0.15
O0220,C0117,2025-04-11,P018,1.0,2500.0,0.0
O0221,C0726,"Jan 16, 2025",P007,1.0,2500.0,0.0
O0222,C0558,2025-03-06,P003,3.0,4000.0,0.05
O0223,C0100,2025-03-30,P013,1.0,12000.0,0.05
O0224,C0250,2025-02-13,P015,4.0,2000.0,0.0
O0225,C0013,2025-06-08,P020,1.0,5000.0,0.1
O0226,C0484,2025-02-05,P019,1.0,4000.0,0.05
O0227,C0311,2025-06-07,P003,0.0,12000.0,0.0
O0228,C0617,2025-05-14,P004,2.0,2500.0,0.0
O0229,C0307,31/05/2025,P005,3.0,5000.0,0.0
O0230,C0310,2025-05-15,P001,1.0,4000.0,0.2
O0231,C0767,04-01-2025,P004,2.0,2000.0,0.0
O0232,C0050,2025-03-23,P012,2.0,4000.0,0.0
O0233,C0931,2025-03-25,P010,2.0,5000.0,0.05
O0234,C0879,2025-04-07,P020,2.0,,0.0
O0235,C0689,2025-06-27,P013,2.0,4000.0,0.0
O0236,C0612,24/03/2025,P014,1.0,2000.0,0.0
O0237,C0920,2025-03-23,P005,1.0,12000.0,0.05
O0238,C0192,2025-01-25,P004,3.0,4000.0,0.05
O0239,C0082,05-22-2025,P014,1.0,4000.0,0.0
O0240,C0247,"May 18, 2025",P010,2.0,5000.0,0.0
O0241,C0820,2025-06-28,P017,1.0,5000.0,
O0242,C0036,2025-04-24,P010,2.0,2500.0,0.0
O0243,C0601,2025-02-04,P007,2.0,12000.0,0.0
O0244,UNKNOWN,2025-05-16,P016,1.0,5000.0,0.0
O0245,C0883,2025-06-26,P001,1.0,4000.0,0.05
O0246,C0538,,P017,1.0,2000.0,0.1
O0247,C0066,,P009,2.0,5000.0,0.0
O0248,C0858,"Feb 13, 2025",P006,3.0,4000.0,0.1
O0249,C0618,2025-04-24,P019,1.0,5000.0,0.0
O0250,C0119,03-27-2025,P013,2.0,5000.0,0.0
O0251,C0097,2025-04-22,P003,1.0,5000.0,0.1
O0252,C0938,2025-02-03,P007,1.0,2500.0,0.0
O0253,C0690,2025-05-31,P009,5.0,5000.0,0.05
O0254,C0855,22/02/2025,P005,1.0,5000.0,0.0
O0255,C0907,"Jun 21, 2025",P010,1.0,4000.0,0.1
O0256,C0590,10/01/2025,P017,1.0,2500.0,0.0
O0257,C0534,2025-06-05,P012,1.0,12000.0,0.15
O0258,C0444,2025-01-14,P016,1.0,4000.0,0.0
O0259,C0327,2025-03-08,P003,1.0,5000.0,0.15
O0260,C0449,2025-04-09,P009,2.0,4000.0,0.0
O0261,C0798,2025-05-20,P015,1.0,4000.0,0.1
O0262,C0621,29/05/2025,P005,1.0,4000.0,0.0
O0263,C0921,2025-04-25,P013,1.0,12000.0,0.2
O0264,C0458,2025-04-02,P014,1.0,12000.0,0.0
O0265,C0626,2025-04-23,P020,2.0,5000.0,0.0
O0266,C0651,2025-03-24,P015,-2.0,12000.0,0.05
O0267,C0610,18/06/2025,P016,1.0,5000.0,0.0
O0268,C0725,2025-02-23,P013,4.0,2000.0,0.0
O0269,C0245,2025-02-27,P017,2.0,,0.2
O0270,C0529,2025-04-09,P008,2.0,,
O0271,C0108,2025-03-18,P002,1.0,2500.0,0.0
O0272,C0397,2025-02-09,P005,1.0,2000.0,0.2
O0273,C0503,2025-03-04,P006,1.0,2000.0,0.05
O0274,C0673,2025-02-15,P012,2.0,12000.0,0.0
O0275,C0980,28/06/2025,P018,1.0,2000.0,0.1
O0276,C0620,2025-05-30,P001,5.0,4000.0,0.1
O0277,C0767,2025-06-07,P017,1.0,4000.0,
O0278,C0522,2025-01-31,P011,1.0,2000.0,0.0
O0279,C0654,01-16-2025,P010,2.0,12000.0,0.1
O0280,C0074,2025-06-16,P019,1.0,12000.0,0.0
O0281,C0263,2025-05-18,P014,1.0,2500.0,0.0
O0282,C0374,2025-04-01,P010,2.0,5000.0,0.0
O0283,C0488,09/05/2025,P015,5.0,4000.0,
O0284,C0048,06-07-2025,P019,3.0,2500.0,0.15
O0285,C0145,2025-01-13,P004,2.0,2000.0,0.1
O0286,C0286,2025-02-25,P002,2.0,4000.0,0.05
O0287,C9999,2025-02-19,P009,-1.0,12000.0,0.0
O0288,C0342,2025-01-23,P010,1.0,12000.0,0.0
O0289,C0497,2025-01-29,P011,1.0,2500.0,0.0
O0290,C0203,2025-05-05,P014,1.0,4000.0,0.0
O0291,C0630,16/01/2025,P007,1.0,4000.0,0.1
O0292,C0290,06/04/2025,P015,2.0,5000.0,0.05
O0293,C0214,2025-05-06,P019,2.0,5000.0,0.0
O0294,C0533,20/05/2025,P015,2.0,,0.0
O0295,C0006,26/05/2025,P008,1.0,12000.0,0.0
O0296,C0008,2025-06-28,P011,2.0,2000.0,0.0
O0297,C0226,"Jan 19, 2025",P009,1.0,5000.0,0.2
O0298,C0038,2025-02-26,P015,2.0,2000.0,0.05
O0299,C0112,02/06/2025,P001,2.0,2500.0,0.15
O0300,C0350,18/01/2025,P001,1.0,4000.0,0.05
O0301,C0828,2025-03-29,P019,1.0,5000.0,0.0
O0302,C0590,2025-04-05,P003,1.0,4000.0,0.0
O0303,C0529,24/02/2025,P010,3.0,2000.0,0.15
O0304,C0303,2025-04-24,P008,5.0,4000.0,0.1
O0305,C0961,02-21-2025,P015,2.0,2500.0,0.0
O0306,C0410,05/06/2025,P010,1.0,2000.0,0.05
O0307,C0090,2025-06-26,P001,1.0,2500.0,0.05
O0308,C0637,09/06/2025,P018,2.0,2000.0,0.05
O0309,C0118,2025-01-20,P002,3.0,5000.0,0.2
O0310,C0356,2025-02-06,P019,1.0,12000.0,0.05
O0311,C0524,17/04/2025,P013,1.0,12000.0,0.05
O0312,C0902,2025-03-07,P001,2.0,2500.0,0.0
O0313,C0509,2025-02-24,P002,1.0,2000.0,0.0
O0314,C0724,2025-06-17,P016,1.0,2000.0,0.0
O0315,C7777,2025-06-01,P015,1.0,12000.0,0.0
O0316,C0136,2025-05-01,P013,1.0,5000.0,0.1
O0317,C0284,2025-03-12,P016,4.0,2000.0,0.1
O0318,C0407,2025-05-02,P017,-1.0,4000.0,0.0
O0319,C0435,2025-05-06,P007,2.0,12000.0,0.15
O0320,C0424,2025-06-09,P017,1.0,2000.0,0.0
O0321,C0936,2025-05-20,P007,1.0,5000.0,0.0
O0322,C0737,17/06/2025,P013,1.0,12000.0,0.0
O0323,C0627,2025-03-13,P005,1.0,4000.0,0.0
O0324,C0319,2025-02-25,P017,2.0,5000.0,0.0
O0325,C0850,2025-03-09,P003,1.0,,0.05
O0326,C0985,06-29-2025,P007,1.0,12000.0,0.0
O0327,C0847,2025-02-06,P017,1.0,5000.0,
O0328,C0002,2025-05-18,P007,1.0,12000.0,0.0
O0329,C0657,2025-04-21,P001,1.0,2000.0,0.0
O0330,C0053,2025-02-21,P017,1.0,4000.0,0.0
O0331,C0266,"Mar 31, 2025",P017,,4000.0,0.05
O0332,C0062,03-09-2025,P011,1.0,5000.0,0.0
O0333,C0623,2025-03-04,P003,1.0,5000.0,0.15
O0334,C0708,01-21-2025,P015,4.0,4000.0,0.05
O0335,C0119,28/04/2025,P011,,2500.0,0.05
O0336,C0396,2025-05-04,P016,2.0,2500.0,0.05
O0337,C0471,2025-06-29,P009,3.0,5000.0,0.0
O0338,C0381,2025-06-01,P001,1.0,4000.0,0.0
O0339,C0125,13/02/2025,P016,1.0,2500.0,0.0
O0340,C0432,2025-05-11,P009,1.0,12000.0,0.05
O0341,C0775,2025-05-21,P019,2.0,2500.0,0.0
O0342,C0074,2025-04-02,P012,2.0,5000.0,0.0
O0343,C0083,2025-04-27,P019,1.0,2500.0,
O0344,C0366,04-16-2025,P009,1.0,2000.0,0.0
O0345,C0971,2025-01-19,P007,2.0,2500.0,0.15
O0346,C0690,17/03/2025,P014,1.0,2000.0,0.1
O0347,C0700,,P019,2.0,12000.0,0.0
O0348,C0374,"May 20, 2025",P019,2.0,2500.0,0.0
O0349,C0613,2025-03-25,P002,2.0,12000.0,0.0
O0350,C0011,2025-06-11,P009,3.0,12000.0,0.1
O0351,C0656,2025-04-21,P013,4.0,2000.0,0.05
O0352,C0942,03-12-2025,P015,1.0,2000.0,0.1
O0353,C0632,2025-05-25,P003,2.0,2500.0,0.2
O0354,C0901,2025-03-31,P011,2.0,12000.0,0.1
O0355,C0747,2025-03-30,P014,1.0,2000.0,0.0
O0356,C0125,2025-02-07,P008,1.0,2000.0,0.0
O0357,C0931,2025-03-09,P018,1.0,5000.0,0.15
O0358,C0069,2025-03-24,P019,1.0,12000.0,0.0
O0359,C0551,2025-02-14,P016,2.0,12000.0,0.0
O0360,C0147,2025-06-05,P002,3.0,12000.0,0.1
O0361,C0013,2025-04-24,P008,1.0,,0.0
O0362,C0436,2025-04-11,P006,1.0,2000.0,0.2
O0363,C0305,25/02/2025,P012,-2.0,2000.0,0.1
O0364,C0502,2025-06-23,P015,1.0,,0.0
O0365,C0596,02-22-2025,P008,1.0,12000.0,0.2
O0366,C0046,09/03/2025,P004,2.0,2500.0,0.0
O0367,C0127,2025-06-25,P015,1.0,4000.0,0.0
O0368,C0576,2025-05-27,P020,1.0,2500.0,0.0
O0369,C0354,2025-02-07,P017,1.0,5000.0,0.0
O0370,C0752,2025-06-15,P013,1.0,2500.0,0.05
O0371,C0673,2025-04-09,P018,2.0,12000.0,0.0
O0372,C0872,01-21-2025,P002,1.0,12000.0,0.0
O0373,C0714,04-29-2025,P013,1.0,2000.0,0.0
O0374,C0444,"Mar 31, 2025",P013,2.0,12000.0,0.1
O0375,C0694,2025-03-31,P015,3.0,2000.0,0.15
O0376,C0284,2025-04-28,P020,1.0,4000.0,0.0
O0377,C0316,04-22-2025,P010,1.0,2000.0,0.0
O0378,C0814,05/02/2025,P003,2.0,12000.0,0.0
O0379,C0461,2025-03-26,P019,1.0,5000.0,0.0
O0380,C0824,2025-02-26,P003,1.0,12000.0,0.1
O0381,C0848,2025-02-28,P014,2.0,4000.0,0.1
O0382,C0885,2025-02-18,P008,4.0,5000.0,0.0
O0383,C0945,2025-03-15,P004,3.0,12000.0,0.0
O0384,C0445,,P020,2.0,12000.0,0.0
O0385,C0329,25/01/2025,P011,2.0,5000.0,0.05
O0386,C0601,2025-04-07,P011,1.0,4000.0,0.0
O0387,C0383,"Jun 23, 2025",P011,2.0,2500.0,
O0388,C0620,03-23-2025,P002,1.0,5000.0,0.1
O0389,C0728,2025-01-27,P017,1.0,4000.0,0.0
O0390,C0710,24/04/2025,P009,2.0,2000.0,0.05
O0391,C0387,2025-05-30,P002,2.0,4000.0,0.2
O0392,C0173,,P015,1.0,2000.0,0.05
O0393,C0444,2025-02-15,P016,5.0,4000.0,0.0
O0394,C0148,2025-01-20,P004,1.0,4000.0,0.0
O0395,C0918,2025-03-03,P008,1.0,5000.0,0.15
O0396,C0357,24/03/2025,P009,1.0,2000.0,0.05
O0397,C0160,2025-05-20,P005,3.0,2000.0,0.1
O0398,C0027,2025-05-07,P016,2.0,5000.0,0.15
O0399,C0666,2025-05-07,P013,1.0,12000.0,0.15
O0400,C0657,"Jan 17, 2025",P007,2.0,,0.2
O0401,C0352,2025-06-28,P020,1.0,4000.0,0.0
O0402,C0074,2025-01-24,P017,3.0,4000.0,0.05
O0403,C0423,2025-02-15,P003,1.0,2500.0,0.1
O0404,C0321,15/06/2025,P005,1.0,2000.0,0.1
O0405,C0699,06/06/2025,P019,5.0,4000.0,0.05
O0406,C0625,04/05/2025,P012,1.0,2000.0,0.0
O0407,C0376,2025-05-30,P007,1.0,2500.0,0.1
O0408,C0225,2025-05-20,P009,2.0,4000.0,0.1
O0409,C7777,2025-04-28,P006,-2.0,4000.0,0.0
O0410,C0469,2025-02-21,P017,1.0,12000.0,0.05
O0411,C0710,13/04/2025,P016,1.0,,0.0
O0412,C0145,2025-02-19,P003,1.0,2000.0,0.0
O0413,C0501,2025-06-27,P004,1.0,5000.0,0.0
O0414,C0029,2025-03-15,P010,1.0,2500.0,0.0
O0415,C0522,2025-03-09,P005,2.0,4000.0,0.05
O0416,C0994,2025-01-12,P010,,5000.0,0.05
O0417,C0397,2025-02-20,P012,1.0,4000.0,0.1
O0418,C0041,"Feb 15, 2025",P010,1.0,4000.0,0.15
O0419,C0032,2025-06-02,P013,1.0,2500.0,0.0
O0420,C0400,2025-02-01,P011,1.0,12000.0,0.0
O0421,C0165,2025-06-04,P016,4.0,2500.0,0.15
O0422,C0025,2025-06-05,P008,1.0,4000.0,0.0
O0423,C0780,2025-04-12,P008,1.0,5000.0,
O0424,C0473,2025-02-26,P008,2.0,,0.15
O0425,C0299,05-25-2025,P013,1.0,4000.0,0.05
O0426,C0928,2025-05-07,P002,2.0,12000.0,
O0427,C0120,2025-05-26,P012,1.0,4000.0,0.0
O0428,C0986,02-18-2025,P010,3.0,2500.0,0.0
O0429,C0324,2025-03-28,P012,-1.0,12000.0,0.05
O0430,C0916,2025-02-25,P011,2.0,5000.0,0.0
O0431,C0622,2025-04-27,P015,-1.0,5000.0,0.2
O0432,C0853,2025-03-13,P016,1.0,12000.0,0.0
O0433,C9901,2025-06-09,P017,1.0,2000.0,0.05
O0434,C0298,2025-03-05,P002,2.0,4000.0,0.05
O0435,C0991,2025-03-24,P018,2.0,12000.0,0.1
O0436,C0402,,P012,1.0,5000.0,0.0
O0437,C0398,2025-04-23,P019,1.0,12000.0,0.0
O0438,C0351,2025-05-15,P018,1.0,2500.0,0.15
O0439,C0559,2025-03-20,P017,1.0,12000.0,0.0
O0440,C0159,10/03/2025,P006,1.0,,0.15
O0441,C0571,2025-03-01,P015,2.0,4000.0,0.05
O0442,C0559,2025-03-20,P003,1.0,5000.0,0.1
O0443,C0786,19/04/2025,P006,1.0,2500.0,0.1
O0444,C0860,2025-04-16,P003,2.0,4000.0,0.0
O0445,C0455,2025-04-10,P001,2.0,2000.0,0.05
O0446,C0312,01-29-2025,P013,4.0,,0.15
O0447,C0268,,P014,2.0,5000.0,0.0
O0448,C0201,2025-05-30,P013,1.0,5000.0,
O0449,C0060,04-11-2025,P004,3.0,2000.0,0.05
O0450,C0354,2025-06-06,P007,1.0,12000.0,0.0
O0451,C0279,2025-06-22,P010,1.0,5000.0,0.0
O0452,C0997,2025-03-13,P007,2.0,5000.0,
O0453,C0575,2025-02-18,P015,5.0,5000.0,0.0
O0454,C0359,2025-03-22,P015,1.0,2000.0,0.15
O0455,C0599,11/03/2025,P004,1.0,5000.0,0.15
O0456,C0144,2025-03-31,P006,1.0,4000.0,0.0
