event_id,customer_id,event_time,event_name,device,channel
E0045,C0961,2025-05-14 15:15:45,begin_checkout,Desktop,Facebook
E0046,C0214,2025.04.04 - 08:03,product_view,Desktop,Email Marketing
E0047,C0370,2025-03-06 04:43:28,product_view,Desktop,Direct
E0048,C0155,2025-02-15 12:52:25,product_view,Mobile,Instagram
E0049,C0526,,product_view,Mobile,Instagram
E0050,C0475,2025-01-03 11:24:59,product_view,Mobile,Facebook
E0051,C0929,11/05/2025 10:02 AM,add_to_cart,Desktop,Instagram
E0052,C0959,2025-01-18 06:46:59,begin_checkout,nan,Direct
E0053,C0396,26/06/2025 02:22 AM,product_view,Mobile,Facebook
E0054,C0507,2025.01.22 - 10:38,add_to_cart,Mobile,Facebook
E0055,C0924,2025-06-12 04:27:50,begin_checkout,Mobile,Instagram
E0056,C0832,2025-04-22 11:44:44,add_to_cart,Mobile,Facebook
E0057,C0004,2025-05-10 21:52:05,add_to_cart,Mobile,Facebook
E0058,C0330,2025-04-06 22:41:30,product_view,Mobile,Direct
E0059,C0435,2025-01-29 23:03:49,purchase,Tablet,Instagram
E0060,C0237,2025-01-18 11:48:56,add_to_cart,Mobile,Instagram
E0061,C0206,2025-06-01 08:51:19,product_view,Tablet,Google Search
E0062,C0039,2025-04-10 08:43:11,product_view,Desktop,Instagram
E0063,C0664,15/01/2025 01:45 PM,begin_checkout,Desktop,Google Search
E0064,C0271,2025-05-21 12:03:03,product_view,Desktop,Email Marketing
E0065,C0054,2025-05-21 12:06:35,nan,Desktop,Google Search
E0066,C0239,2025-01-20 16:02:52,product_view,Desktop,Direct
E0067,C0827,2025-06-25 16:34:39,begin_checkout,Desktop,Instagram
E0068,C0878,2025.02.19 - 16:32,product_view,Mobile,Instagram
E0069,C0499,2025-05-06 02:49:37,add_to_cart,nan,Instagram
E0070,C0429,2025-02-14 21:17:06,purchase,Desktop,Instagram
E0071,C8888,2025-03-30 16:36:54,product_view,Desktop,Email Marketing
E0072,C0207,2025-02-27 11:33:48,add_to_cart,Desktop,Instagram
E0073,C0223,2025-02-21 06:54:42,product_view,Mobile,Google Search
E0074,C0301,2025-04-01 03:41:21,product_view,Mobile,Google Search
E0075,C0179,2025.01.10 - 17:23,product_view,Mobile,Email Marketing
E0076,C0392,2025-01-20 09:08:35,add_to_cart,Mobile,Instagram
E0077,C0940,07/06/2025 09:41 PM,product_view,Desktop,Instagram
E0078,C0635,2025-02-03 22:10:09,product_view,Mobile,Instagram
E0079,C0425,2025-06-19 17:47:23,product_view,Mobile,Google Search
E0080,C0964,2025.01.08 - 15:49,add_to_cart,Mobile,Instagram
E0081,C0050,2025-06-15 11:46:00,add_to_cart,Mobile,Direct
E0082,C0217,26/02/2025 10:08 AM,product_view,Desktop,Google Search
E0083,C0584,2025-03-11 22:43:19,product_view,Desktop,Facebook
E0084,C0635,05/06/2025 03:42 PM,purchase,Mobile,Google Search
E0085,C0041,2025-05-12 09:57:38,product_view,Desktop,Instagram
E0086,C0416,2025-03-02 17:19:14,begin_checkout,Desktop,Google Search
E0087,C0670,2025.03.24 - 17:16,purchase,Mobile,nan
E0088,C0720,2025-05-24 09:50:48,begin_checkout,Mobile,Direct
E0089,C0658,2025-01-23 12:08:17,product_view,nan,Email Marketing
E0090,C0331,2025.01.19 - 10:43,begin_checkout,Mobile,Direct
E0091,C0097,2025-06-15 07:05:36,begin_checkout,Mobile,Instagram
E0092,C0441,2025-05-28 05:29:12,add_to_cart,Mobile,Instagram
E0093,C0133,2025-06-22 21:03:41,product_view,Desktop,Instagram
E0094,C0977,09/01/2025 09:51 PM,product_view,Desktop,Instagram
E0095,C0490,2025-01-02 21:04:34,product_view,Desktop,Instagram
E0096,C0328,2025-06-15 10:36:06,add_to_cart,Mobile,Google Search
E0097,C0791,2025.01.27 - 20:57,add_to_cart,Tablet,Facebook
E0098,C0514,2025-05-09 19:27:30,product_view,Mobile,Direct
E0099,C0320,06/05/2025 04:09 PM,product_view,Mobile,Facebook
E0100,C0838,2025-02-03 02:38:41,product_view,Mobile,Email Marketing
E0101,C0894,05/03/2025 07:40 PM,add_to_cart,Mobile,Instagram
E0102,C0694,2025.03.11 - 10:11,purchase,Desktop,Instagram
E0103,C0049,23/06/2025 04:48 PM,product_view,Tablet,Facebook
E0104,C0584,2025-03-26 23:53:50,product_view,Mobile,Instagram
E0105,C0787,2025-05-01 17:49:50,product_view,Desktop,Instagram
E0106,C0141,2025-02-22 02:24:44,add_to_cart,Desktop,Google Search
E0107,C0236,20/06/2025 01:59 PM,begin_checkout,Tablet,Instagram
E0108,C0910,2025.05.23 - 08:20,purchase,Mobile,Google Search
E0109,C0021,2025-01-19 01:11:04,product_view,Mobile,Google Search
E0110,C0777,2025-03-14 08:32:42,purchase,Mobile,Google Search
E0111,C0489,2025-06-08 06:00:31,product_view,Desktop,Facebook
E0112,C0461,2025-03-08 13:12:13,add_to_cart,Mobile,Google Search
E0113,C0008,2025-02-05 12:13:59,product_view,Mobile,Instagram
E0114,C0845,2025-01-23 02:29:44,purchase,Mobile,Instagram
E0115,C0371,2025-03-19 19:45:30,add_to_cart,Mobile,Google Search
E0116,C0558,2025-03-19 17:18:04,add_to_cart,Desktop,Facebook
E0117,C0699,2025-03-30 15:37:28,begin_checkout,Desktop,Facebook
E0118,C0725,2025-02-22 18:50:02,product_view,Desktop,Facebook
E0119,C0986,2025-06-12 06:40:59,product_view,Desktop,Instagram
E0120,C0548,16/03/2025 09:33 PM,purchase,Mobile,Google Search
E0121,C0413,2025-05-14 23:10:42,product_view,Mobile,Google Search
E0122,C0984,2025-06-15 04:25:00,product_view,Mobile,Google Search
E0123,C0662,2025-04-03 20:46:59,product_view,Mobile,Google Search
E0124,C0308,2025-06-05 07:47:59,add_to_cart,Mobile,Google Search
E0125,C0131,2025-03-23 21:27:00,product_view,Desktop,Google Search
E0126,C0869,2025-05-06 23:50:37,product_view,Desktop,Facebook
E0127,C0374,2025-06-22 01:38:11,product_view,Desktop,Instagram
E0128,C0681,2025-06-04 17:52:03,product_view,Mobile,Facebook
E0129,C0486,,purchase,Mobile,Instagram
E0130,C0206,2025-01-22 22:52:54,nan,Mobile,Instagram
E0131,C0621,2025-01-26 17:32:55,add_to_cart,Desktop,nan
E0132,C0063,2025-05-16 04:23:12,product_view,Mobile,nan
E0133,C0427,2025-05-22 01:19:16,purchase,Mobile,Instagram
E0134,C0564,2025-01-12 09:18:43,add_to_cart,Mobile,Google Search
E0135,C0450,2025-06-13 22:57:19,product_view,Mobile,Instagram
E0136,C0772,2025-01-31 22:50:11,purchase,Mobile,Google Search
E0137,C0854,,begin_checkout,Desktop,Direct
E0138,C0796,2025-03-22 18:49:46,begin_checkout,Desktop,nan
E0139,C0041,26/06/2025 10:37 PM,add_to_cart,Mobile,Facebook
E0140,C0201,2025-04-25 17:05:45,product_view,Desktop,Google Search
E0141,C0554,2025-04-04 17:25:40,product_view,Desktop,Google Search
E0142,C0964,05/06/2025 06:49 PM,add_to_cart,Desktop,Instagram
E0143,C0861,2025-04-21 11:28:06,product_view,Mobile,Email Marketing
E0144,C0869,2025-05-12 17:32:28,product_view,Mobile,Direct
E0145,C0313,27/03/2025 01:59 AM,begin_checkout,Desktop,Google Search
E0146,C0443,2025.02.05 - 04:44,begin_checkout,Mobile,Instagram
E0147,C0486,2025-04-29 16:58:20,product_view,Tablet,Instagram
E0148,C0163,2025-03-15 17:46:00,begin_checkout,Desktop,Instagram
E0149,C0033,01/06/2025 07:10 AM,begin_checkout,Desktop,Direct
E0150,C0977,11/03/2025 03:11 PM,add_to_cart,Mobile,Google Search
E0151,C0249,2025-04-29 17:08:12,product_view,Mobile,Instagram
E0152,C0248,2025-01-06 14:17:36,product_view,Mobile,Google Search
E0153,C0086,2025-06-17 11:53:40,product_view,Mobile,Direct
E0154,C0958,2025-05-13 21:50:02,product_view,Mobile,Instagram
E0155,C0598,2025-06-20 20:51:55,product_view,Mobile,Direct
E0156,C0688,12/06/2025 07:51 PM,product_view,Mobile,Email Marketing
E0157,C0940,22/05/2025 05:21 AM,product_view,nan,nan
E0158,C0357,2025-06-23 03:54:57,purchase,Mobile,Google Search
E0159,C0641,2025-01-26 08:53:52,product_view,Tablet,Instagram
E0160,C0040,2025-04-04 19:18:51,begin_checkout,Tablet,Google Search
E0161,C0193,2025-06-28 17:21:55,add_to_cart,Mobile,Google Search
E0162,C0857,2025-04-05 18:49:01,product_view,Desktop,Instagram
E0163,C0791,2025-01-22 22:19:36,purchase,Mobile,Google Search
E0164,C0362,2025-06-22 08:29:15,add_to_cart,Desktop,Google Search
E0165,C0389,2025.03.21 - 20:43,product_view,Mobile,Direct
E0166,C0551,2025-03-27 13:45:15,begin_checkout,Mobile,Instagram
E0167,C0001,2025-01-09 22:14:47,product_view,Mobile,Facebook
E0168,C0249,2025-01-13 07:10:02,add_to_cart,Mobile,Facebook
E0169,C0215,,product_view,Mobile,Facebook
E0170,C0259,2025-05-08 04:23:53,begin_checkout,Mobile,Direct
E0171,C0831,03/03/2025 12:27 AM,product_view,Mobile,Facebook
E0172,C0289,2025-01-03 09:36:09,add_to_cart,Mobile,Email Marketing
E0173,C0198,2025-05-17 19:31:32,product_view,Mobile,Google Search
E0174,C0520,2025-06-18 14:43:18,add_to_cart,Mobile,Google Search
E0175,C0893,12/05/2025 03:22 PM,begin_checkout,Mobile,Instagram
E0176,C0249,2025.04.12 - 21:49,product_view,Mobile,Instagram
E0177,C0081,2025-05-30 00:56:35,add_to_cart,Desktop,Instagram
E0178,C0368,2025-05-25 09:32:17,product_view,Mobile,Instagram
E0179,C0771,22/04/2025 11:22 PM,purchase,Desktop,Instagram
E0180,C0568,2025-05-21 13:01:45,add_to_cart,Mobile,Instagram
E0181,C0843,2025-04-20 17:08:52,begin_checkout,Desktop,Instagram
E0182,C0990,2025-02-13 11:50:43,begin_checkout,Mobile,Email Marketing
E0183,C0818,2025-05-11 01:42:03,product_view,Mobile,Instagram
E0184,C0623,2025-06-19 13:08:38,product_view,Mobile,Facebook
E0185,C0509,2025-03-07 16:35:42,product_view,Mobile,Instagram
E0186,C0042,,begin_checkout,Mobile,Email Marketing
E0187,C9901,2025-04-12 13:50:14,product_view,Mobile,Email Marketing
E0188,C0396,2025-05-14 15:26:18,add_to_cart,nan,Facebook
E0189,C0157,2025-05-17 00:56:25,begin_checkout,Mobile,Facebook
E0190,C0688,2025-05-01 01:12:09,product_view,Mobile,Instagram
E0191,C0294,2025-01-19 11:51:37,add_to_cart,Desktop,nan
E0192,C0604,2025-03-26 01:13:02,product_view,Mobile,Direct
E0193,C0605,2025-05-09 11:48:26,product_view,Desktop,Email Marketing
E0194,C0460,2025-05-22 02:26:37,begin_checkout,Mobile,Facebook
E0195,C0862,2025.02.18 - 06:27,product_view,Desktop,Google Search
E0196,C0274,2025-04-04 13:57:18,product_view,Mobile,Email Marketing
E0197,C0463,2025-03-09 03:18:33,begin_checkout,Desktop,Instagram
E0198,C0555,2025-05-09 21:06:56,product_view,Desktop,Google Search
E0199,C0685,2025-05-12 07:45:56,nan,Mobile,Instagram
E0200,C0809,2025-05-05 13:09:41,nan,Mobile,Email Marketing
E0201,C0408,16/03/2025 05:39 PM,product_view,Mobile,Instagram
E0202,C0667,2025-01-29 20:46:47,product_view,nan,Instagram
E0203,C0156,,add_to_cart,Mobile,Google Search
E0204,C0962,2025-06-10 11:28:45,product_view,Mobile,Facebook
E0205,C0395,2025-04-19 10:04:21,product_view,Mobile,Facebook
E0206,C0753,2025-06-23 05:18:34,add_to_cart,Mobile,Instagram
E0207,C0021,2025-04-30 00:23:10,product_view,Mobile,Instagram
E0208,C0212,2025-01-11 14:17:47,purchase,nan,Facebook
E0209,C0503,2025-01-03 06:16:08,product_view,Mobile,nan
E0210,C0906,2025-05-05 22:27:19,product_view,Desktop,Direct
E0211,C0544,2025-01-31 11:20:04,product_view,Mobile,Google Search
E0212,C0959,2025-04-09 04:06:56,nan,Mobile,Email Marketing
E0213,C0499,2025-06-14 19:54:25,add_to_cart,Mobile,Google Search
E0214,C0506,2025-04-02 03:02:41,begin_checkout,Mobile,Google Search
E0215,C0124,2025-06-15 10:00:26,product_view,nan,Google Search
E0216,C0828,07/04/2025 06:45 AM,product_view,Desktop,Google Search
E0217,C0255,2025-06-18 19:46:13,product_view,Mobile,Facebook
E0218,C0928,2025-02-02 02:50:16,add_to_cart,Mobile,Google Search
E0219,C0939,2025-01-15 12:53:50,add_to_cart,Mobile,Instagram
E0220,C0973,2025-05-26 21:55:03,add_to_cart,Tablet,Instagram
E0221,C0537,2025-04-06 11:14:44,product_view,Desktop,Instagram
E0222,C0699,2025-03-04 06:15:42,purchase,Desktop,Google Search
E0223,C0803,16/02/2025 06:38 PM,product_view,Mobile,Instagram
E0224,C0136,2025-03-06 06:04:54,nan,Mobile,Instagram
E0225,C0620,2025.02.24 - 00:18,product_view,Mobile,Facebook
E0226,C0036,10/01/2025 06:39 PM,add_to_cart,Mobile,Facebook
E0227,C0513,2025-04-09 10:27:42,product_view,Mobile,Facebook
E0228,C0160,2025-02-13 05:53:15,product_view,Mobile,Google Search
E0229,C0189,2025-04-17 21:29:43,add_to_cart,Mobile,Email Marketing
E0230,C0377,05/05/2025 10:04 PM,product_view,Tablet,Email Marketing
E0231,C0446,2025-03-15 12:34:44,product_view,Desktop,Direct
E0232,C0643,2025-03-20 07:24:25,begin_checkout,Mobile,Facebook
E0233,C0077,08/06/2025 03:58 PM,add_to_cart,Mobile,Instagram
E0234,C0520,2025-02-15 15:10:45,begin_checkout,Mobile,nan
E0235,C0189,2025-01-16 07:22:37,product_view,Desktop,Instagram
E0236,C0592,2025-03-31 03:32:09,add_to_cart,Desktop,Instagram
E0237,C0658,2025-03-28 06:04:12,add_to_cart,Desktop,Google Search
E0238,C0574,2025-06-05 14:08:53,product_view,Desktop,Instagram
E0239,C0762,2025-04-22 06:32:10,add_to_cart,Mobile,nan
E0240,C0346,2025-03-29 00:17:26,product_view,Mobile,Google Search
E0241,C0789,2025-01-18 02:12:08,product_view,Mobile,Google Search
E0242,C0447,2025-06-16 07:59:42,product_view,Mobile,Facebook
E0243,C0500,2025-04-07 18:58:26,product_view,Desktop,Google Search
E0244,C0669,2025-03-28 19:29:18,add_to_cart,Mobile,Instagram
E0245,C0019,2025-03-03 08:57:12,add_to_cart,Mobile,Facebook
E0246,C0675,2025-01-24 01:12:50,purchase,Mobile,Facebook
E0247,C0638,2025-04-07 13:55:40,begin_checkout,nan,Google Search
E0248,C0320,2025-05-25 17:03:55,product_view,Mobile,Facebook
E0249,C0089,2025-05-07 20:56:20,purchase,Desktop,Instagram
E0250,C0094,2025.01.04 - 10:48,purchase,Mobile,Instagram
E0251,C0952,2025-01-20 22:21:09,product_view,Mobile,Instagram
E0252,C0711,2025-03-20 08:09:54,add_to_cart,Mobile,Google Search
E0253,C0132,2025-03-22 01:38:12,nan,Desktop,Direct
E0254,C0368,2025-01-07 22:59:20,add_to_cart,Mobile,Direct
E0255,C0611,2025-04-19 04:25:07,purchase,Desktop,Google Search
E0256,C0862,2025-04-17 14:59:09,product_view,Mobile,Google Search
E0257,C0046,01/01/2025 12:47 AM,product_view,Mobile,Facebook
E0258,C0244,10/06/2025 09:00 AM,product_view,Tablet,Instagram
E0259,C0918,2025-01-18 15:36:14,add_to_cart,Mobile,Instagram
E0260,C0010,03/06/2025 05:58 PM,begin_checkout,Mobile,nan
E0261,C0208,2025-04-28 07:47:28,nan,Desktop,Facebook
E0262,C0989,2025-05-01 05:03:26,product_view,Mobile,nan
E0263,C0633,2025.05.04 - 19:08,product_view,Desktop,Google Search
E0264,C0270,2025-03-01 03:31:45,begin_checkout,Mobile,Facebook
E0265,C0070,2025-06-22 20:13:02,add_to_cart,Mobile,Instagram
E0266,C0030,09/04/2025 05:01 PM,product_view,Mobile,Instagram
E0267,C0253,2025.04.20 - 04:39,add_to_cart,Desktop,Google Search
E0268,C0909,10/02/2025 03:59 AM,begin_checkout,Mobile,Instagram
E0269,C0429,2025-05-08 02:38:18,begin_checkout,Desktop,Instagram
E0270,C0743,2025-05-11 09:17:50,add_to_cart,Tablet,Instagram
E0271,C0947,2025.03.30 - 14:04,product_view,Mobile,Instagram
E0272,C0421,2025.03.08 - 04:29,nan,Mobile,Facebook
E0273,C0198,2025-03-12 13:17:55,add_to_cart,Mobile,Google Search
E0274,C0534,2025-06-10 06:13:40,product_view,Mobile,Instagram
E0275,C0937,2025-01-11 12:56:26,product_view,Mobile,Instagram
E0276,C0830,08/06/2025 01:34 PM,begin_checkout,Desktop,Instagram
E0277,C0068,2025-02-13 06:52:25,product_view,nan,Facebook
E0278,C0714,2025-06-13 22:48:16,product_view,Tablet,Instagram
E0279,C0590,30/03/2025 05:56 AM,add_to_cart,Desktop,Facebook
E0280,C0936,2025-03-06 11:06:16,product_view,Tablet,Instagram
E0281,C0127,2025-04-19 18:29:31,add_to_cart,Mobile,Instagram
E0282,C0551,2025-05-30 00:25:10,product_view,Desktop,Email Marketing
E0283,C0907,2025.05.01 - 08:16,add_to_cart,Tablet,Facebook
E0284,C0423,2025-04-27 11:58:30,product_view,Mobile,Instagram
E0285,C0497,2025-04-02 20:57:45,product_view,nan,Direct
E0286,C0073,20/05/2025 03:52 AM,product_view,Mobile,Google Search
E0287,C0287,08/05/2025 02:37 PM,purchase,Desktop,Direct
E0288,C0335,2025-03-12 13:04:31,purchase,Desktop,Google Search
E0289,C0975,2025-05-20 00:23:55,product_view,nan,Facebook
E0290,C0292,2025-03-29 20:57:14,begin_checkout,Mobile,nan
E0291,C0476,2025-01-23 03:23:14,add_to_cart,Desktop,Instagram
E0292,C0693,2025-01-19 22:05:21,nan,Mobile,Facebook
E0293,C0168,2025-05-28 10:41:14,product_view,Mobile,Google Search
E0294,C0502,2025-05-08 22:44:39,add_to_cart,Desktop,Instagram
E0295,C0762,2025-02-13 01:24:59,product_view,Mobile,Instagram
E0296,C0894,2025-01-01 10:14:18,product_view,Desktop,Instagram
E0297,C0646,08/03/2025 06:50 AM,nan,Mobile,Facebook
E0298,C0690,2025-03-10 23:04:03,add_to_cart,Mobile,Google Search
E0299,C0131,2025-06-11 03:32:21,product_view,Desktop,Google Search
E0300,C0976,2025-05-04 01:04:30,product_view,Mobile,Instagram
E0301,C0137,2025.06.05 - 07:51,add_to_cart,Mobile,Google Search
E0302,C0799,2025-02-26 16:44:31,add_to_cart,nan,Email Marketing
E0303,C0274,2025-04-17 08:25:23,product_view,Mobile,Google Search
E0304,C0963,2025-04-12 08:37:36,purchase,Desktop,Facebook
E0305,C0743,2025-03-14 14:27:19,product_view,Mobile,Facebook
E0306,C0778,17/05/2025 08:00 AM,product_view,Mobile,Facebook
E0307,C0226,2025-01-21 15:29:51,purchase,Mobile,Google Search
E0308,C0457,2025-01-09 21:20:29,product_view,Mobile,Direct
E0309,C0637,2025-06-24 03:45:01,product_view,Mobile,Google Search
E0310,C0794,2025-02-01 21:01:10,add_to_cart,Mobile,Direct
E0311,C0108,,begin_checkout,Mobile,Instagram
E0312,C0993,2025-01-28 06:32:26,product_view,Mobile,Instagram
E0313,C0918,09/06/2025 02:02 PM,purchase,Mobile,Instagram
E0314,C0279,2025-05-20 04:47:29,begin_checkout,Mobile,Direct
E0315,C0849,25/05/2025 04:21 AM,product_view,Mobile,Google Search
E0316,C0535,2025-05-21 02:42:32,add_to_cart,Tablet,Instagram
E0317,C0477,21/03/2025 11:03 AM,product_view,Desktop,Instagram
E0318,C0325,2025-01-21 18:28:36,product_view,Desktop,Email Marketing
E0319,C0599,19/02/2025 09:04 AM,begin_checkout,Mobile,Direct
E0320,C0753,2025-04-29 14:46:32,nan,Tablet,Google Search
E0321,C0424,2025-02-08 01:03:36,product_view,Desktop,Facebook
E0322,C0649,2025-02-06 10:00:56,product_view,Desktop,Google Search
E0323,C0721,2025-01-24 10:42:58,add_to_cart,Mobile,Google Search
E0324,C0734,2025-06-15 11:30:49,product_view,nan,Email Marketing
E0325,C0054,2025.03.18 - 07:01,product_view,Desktop,Instagram
E0326,C0887,2025-02-11 20:43:11,product_view,Desktop,Google Search
E0327,C0473,2025-03-30 17:59:19,add_to_cart,Mobile,Google Search
E0328,C0271,2025-06-10 02:42:02,product_view,Mobile,Google Search
E0329,C0250,2025-06-01 17:40:58,product_view,Mobile,Google Search
E0330,C0498,2025-02-07 00:09:41,begin_checkout,Mobile,Google Search
E0331,C0915,20/05/2025 04:28 AM,begin_checkout,Desktop,Instagram
E0332,C0391,2025-03-07 14:53:04,add_to_cart,Mobile,Google Search
E0333,C0773,2025-01-21 22:13:29,product_view,Mobile,Instagram
E0334,C0100,2025-05-28 00:34:18,add_to_cart,Mobile,Instagram
E0335,C0491,2025-03-22 11:34:18,product_view,Mobile,Instagram
E0336,C7777,2025-01-10 00:42:26,product_view,Mobile,Facebook
E0337,C0795,29/06/2025 10:23 PM,begin_checkout,Desktop,Google Search
E0338,C0218,2025-05-03 23:06:52,product_view,Mobile,Facebook
E0339,C0517,2025-06-12 14:52:31,product_view,Mobile,Facebook
E0340,C0241,2025-05-11 12:24:27,product_view,Mobile,Facebook
E0341,C0423,2025-04-25 08:03:31,product_view,Mobile,Google Search
E0342,C0805,2025-01-24 22:14:34,product_view,Mobile,Google Search
E0343,C0796,30/05/2025 10:27 PM,nan,Desktop,Google Search
E0344,C0236,2025-06-23 03:52:35,product_view,Desktop,Facebook
E0345,C0951,2025-03-29 11:30:12,product_view,Desktop,Google Search
E0346,C0611,2025-03-30 19:34:55,product_view,Desktop,Direct
E0347,C0392,2025-05-08 20:37:50,purchase,Mobile,Direct
E0348,C0518,2025-04-25 10:24:44,add_to_cart,nan,Instagram
E0349,C0624,2025-04-08 21:43:51,product_view,Desktop,Instagram
E0350,C0578,2025-01-27 03:26:57,purchase,Tablet,Facebook
E0351,C0502,2025-04-07 20:42:35,product_view,Mobile,Instagram
E0352,C0521,,product_view,Tablet,Instagram
E0353,C0182,2025-04-13 23:40:37,product_view,Desktop,Direct
E0354,C0838,2025-05-23 23:00:20,product_view,Desktop,Instagram
E0355,C0559,2025-01-10 10:21:36,product_view,Mobile,Email Marketing
E0356,C0136,18/04/2025 10:13 AM,add_to_cart,Desktop,Facebook
E0357,C0790,2025-03-26 01:02:33,product_view,nan,Facebook
E0358,C0962,2025-06-12 21:09:59,add_to_cart,Desktop,Instagram
E0359,C0977,2025-04-24 14:51:36,product_view,Mobile,Instagram
E0360,C0381,2025-04-04 18:37:33,product_view,Tablet,Google Search
E0361,C0140,2025.06.29 - 11:52,product_view,Mobile,Instagram
E0362,C0535,09/04/2025 05:00 PM,purchase,Desktop,Instagram
E0363,C0117,2025-06-01 16:06:12,product_view,Mobile,Instagram
E0364,C0963,2025.06.28 - 20:55,add_to_cart,Tablet,Instagram
E0365,C0190,2025-06-26 17:45:11,product_view,Mobile,Instagram
E0366,C0261,2025-02-04 09:49:23,product_view,Mobile,Facebook
E0367,C0420,2025-05-15 08:06:15,product_view,Desktop,Instagram
E0368,C0396,2025.04.23 - 08:15,product_view,Desktop,Instagram
E0369,C0820,2025-02-03 17:16:08,product_view,Desktop,Facebook
E0370,C0471,2025-05-22 20:21:06,product_view,Tablet,nan
E0371,C0177,2025-06-08 07:18:47,begin_checkout,Tablet,Google Search
E0372,C0276,2025-01-25 22:18:08,product_view,Mobile,Instagram
E0373,C0525,2025-01-21 02:35:47,add_to_cart,Mobile,Google Search
E0374,C0153,2025-03-17 05:26:27,product_view,Mobile,Email Marketing
E0375,C0631,2025-05-08 16:16:25,add_to_cart,Mobile,Facebook
E0376,C0584,2025.04.27 - 14:44,add_to_cart,Mobile,Facebook
E0377,C0737,28/04/2025 04:54 PM,product_view,Tablet,Instagram
E0378,C0967,2025.06.21 - 09:39,product_view,Desktop,Google Search
E0379,C0941,2025-03-04 11:54:02,begin_checkout,Mobile,Instagram
E0380,C0976,2025-04-08 21:19:24,purchase,Mobile,Facebook
E0381,C0253,2025-06-21 03:34:39,product_view,Desktop,Facebook
E0382,C0136,2025-03-16 16:39:28,product_view,Mobile,nan
E0383,C0312,23/03/2025 07:07 AM,purchase,Mobile,Instagram
E0384,C0923,2025-04-29 06:06:58,product_view,Tablet,Instagram
E0385,C9999,2025-06-27 20:27:03,add_to_cart,Tablet,Google Search
E0386,C0886,2025-05-15 11:21:22,product_view,Mobile,Facebook
E0387,C0114,2025-05-29 00:55:24,product_view,Tablet,Direct
E0388,C0977,2025-02-18 04:52:35,add_to_cart,Mobile,Instagram
E0389,C0437,2025-02-23 03:02:57,add_to_cart,Desktop,Instagram
E0390,C0010,2025-03-19 06:12:30,product_view,Mobile,Google Search
